hydrophobicity.Group1,hydrophobicity.Group2,hydrophobicity.Group3,normwaalsvolume.Group1,normwaalsvolume.Group2,normwaalsvolume.Group3,polarity.Group1,polarity.Group2,polarity.Group3,polarizability.Group1,polarizability.Group2,polarizability.Group3,charge.Group1,charge.Group2,charge.Group3,secondarystruct.Group1,secondarystruct.Group2,secondarystruct.Group3,solventaccess.Group1,solventaccess.Group2,solventaccess.Group3,Class
0.26,0.530909091,0.209090909,0.516363636,0.245454545,0.238181818,0.236363636,0.456363636,0.307272727,0.414545455,0.347272727,0.238181818,0.1,0.803636364,0.096363636,0.416363636,0.210909091,0.372727273,0.338181818,0.26,0.401818182,Positive
0.398335315,0.337693222,0.263971463,0.346016647,0.431629013,0.22235434,0.2960761,0.282996433,0.420927467,0.286563615,0.491082045,0.22235434,0.090368609,0.807372176,0.102259215,0.380499405,0.22235434,0.397146254,0.319857313,0.398335315,0.281807372,Negative
0.203742204,0.564102564,0.232155232,0.585585586,0.288288288,0.126126126,0.257796258,0.523908524,0.218295218,0.53014553,0.343728344,0.126126126,0.033264033,0.86001386,0.106722107,0.22037422,0.372141372,0.407484407,0.315315315,0.203742204,0.480942481,Positive
0.094364351,0.705111402,0.200524246,0.699868938,0.213630406,0.086500655,0.220183486,0.673656619,0.106159895,0.642201835,0.27129751,0.086500655,0.018348624,0.938401048,0.043250328,0.188728702,0.370904325,0.440366972,0.23853211,0.094364351,0.667103539,Positive
0.274143302,0.56490135,0.160955348,0.544132918,0.268951194,0.186915888,0.190031153,0.516095535,0.293873313,0.45482866,0.358255452,0.186915888,0.089304258,0.843198339,0.067497404,0.36344756,0.219106957,0.417445483,0.33125649,0.274143302,0.394600208,Negative
0.231543624,0.468120805,0.30033557,0.47147651,0.343959732,0.184563758,0.348993289,0.412751678,0.238255034,0.422818792,0.39261745,0.184563758,0.060402685,0.854026846,0.08557047,0.303691275,0.333892617,0.362416107,0.406040268,0.231543624,0.362416107,Negative
0.125091441,0.722750549,0.15215801,0.727139722,0.206291149,0.066569129,0.168983175,0.70226774,0.128749086,0.607900512,0.325530358,0.066569129,0.023408925,0.915874177,0.060716898,0.180687637,0.391367959,0.427944404,0.24506218,0.125091441,0.629846379,Positive
0.221538462,0.495384615,0.283076923,0.496923077,0.327692308,0.175384615,0.324615385,0.441538462,0.233846154,0.456923077,0.367692308,0.175384615,0.038461538,0.873846154,0.087692308,0.278461538,0.373846154,0.347692308,0.384615385,0.221538462,0.393846154,Positive
0.222418358,0.578993822,0.19858782,0.601059135,0.259488085,0.13945278,0.227714034,0.533980583,0.238305384,0.457193292,0.403353928,0.13945278,0.052956752,0.873786408,0.07325684,0.165931156,0.308031774,0.52603707,0.297440424,0.222418358,0.480141218,Positive
0.173896784,0.62565445,0.200448766,0.607703815,0.258788332,0.133507853,0.250560957,0.571428571,0.178010471,0.501121915,0.365370232,0.133507853,0.034779357,0.88855647,0.076664174,0.185863874,0.488780853,0.325355273,0.324981301,0.173896784,0.501121915,Positive
0.167170953,0.593797277,0.23903177,0.611195159,0.281391831,0.107413011,0.259455371,0.570347958,0.170196672,0.541603631,0.350983359,0.107413011,0.029500756,0.894856278,0.075642965,0.208018154,0.475037821,0.316944024,0.328290469,0.167170953,0.504538578,Positive
0.337962963,0.296296296,0.365740741,0.314814815,0.430555556,0.25462963,0.388888889,0.240740741,0.37037037,0.263888889,0.481481481,0.25462963,0.125,0.74537037,0.12962963,0.486111111,0.273148148,0.240740741,0.439814815,0.337962963,0.222222222,Positive
0.269058296,0.439461883,0.291479821,0.417040359,0.358744395,0.224215247,0.340807175,0.3632287,0.295964126,0.340807175,0.434977578,0.224215247,0.053811659,0.834080717,0.112107623,0.399103139,0.282511211,0.31838565,0.443946188,0.269058296,0.286995516,Negative
0.254498715,0.413881748,0.331619537,0.383033419,0.390745501,0.22622108,0.36503856,0.354755784,0.280205656,0.336760925,0.437017995,0.22622108,0.105398458,0.820051414,0.074550129,0.439588689,0.311053985,0.249357326,0.485861183,0.254498715,0.259640103,Negative
0.293948127,0.412103746,0.293948127,0.409221902,0.328530259,0.262247839,0.340057637,0.334293948,0.325648415,0.351585014,0.386167147,0.262247839,0.106628242,0.757925072,0.135446686,0.365994236,0.354466859,0.279538905,0.417867435,0.293948127,0.288184438,Negative
0.367924528,0.377358491,0.254716981,0.396226415,0.330188679,0.273584906,0.283018868,0.330188679,0.386792453,0.367924528,0.358490566,0.273584906,0.179245283,0.70754717,0.113207547,0.462264151,0.264150943,0.273584906,0.367924528,0.367924528,0.264150943,Negative
0.295214923,0.454176805,0.250608273,0.454987835,0.341443633,0.203568532,0.272506083,0.407137064,0.320356853,0.367396594,0.429034874,0.203568532,0.092457421,0.811841038,0.095701541,0.429845904,0.235198702,0.334955393,0.402270884,0.295214923,0.302514193,Negative
0.208219178,0.55890411,0.232876712,0.575342466,0.282191781,0.142465753,0.279452055,0.498630137,0.221917808,0.512328767,0.345205479,0.142465753,0.04109589,0.882191781,0.076712329,0.279452055,0.306849315,0.41369863,0.452054795,0.208219178,0.339726027,Negative
