prop1.G1.residue0,prop1.G1.residue25,prop1.G1.residue50,prop1.G1.residue75,prop1.G1.residue100,prop1.G2.residue0,prop1.G2.residue25,prop1.G2.residue50,prop1.G2.residue75,prop1.G2.residue100,prop1.G3.residue0,prop1.G3.residue25,prop1.G3.residue50,prop1.G3.residue75,prop1.G3.residue100,prop2.G1.residue0,prop2.G1.residue25,prop2.G1.residue50,prop2.G1.residue75,prop2.G1.residue100,prop2.G2.residue0,prop2.G2.residue25,prop2.G2.residue50,prop2.G2.residue75,prop2.G2.residue100,prop2.G3.residue0,prop2.G3.residue25,prop2.G3.residue50,prop2.G3.residue75,prop2.G3.residue100,prop3.G1.residue0,prop3.G1.residue25,prop3.G1.residue50,prop3.G1.residue75,prop3.G1.residue100,prop3.G2.residue0,prop3.G2.residue25,prop3.G2.residue50,prop3.G2.residue75,prop3.G2.residue100,prop3.G3.residue0,prop3.G3.residue25,prop3.G3.residue50,prop3.G3.residue75,prop3.G3.residue100,prop4.G1.residue0,prop4.G1.residue25,prop4.G1.residue50,prop4.G1.residue75,prop4.G1.residue100,prop4.G2.residue0,prop4.G2.residue25,prop4.G2.residue50,prop4.G2.residue75,prop4.G2.residue100,prop4.G3.residue0,prop4.G3.residue25,prop4.G3.residue50,prop4.G3.residue75,prop4.G3.residue100,prop5.G1.residue0,prop5.G1.residue25,prop5.G1.residue50,prop5.G1.residue75,prop5.G1.residue100,prop5.G2.residue0,prop5.G2.residue25,prop5.G2.residue50,prop5.G2.residue75,prop5.G2.residue100,prop5.G3.residue0,prop5.G3.residue25,prop5.G3.residue50,prop5.G3.residue75,prop5.G3.residue100,prop6.G1.residue0,prop6.G1.residue25,prop6.G1.residue50,prop6.G1.residue75,prop6.G1.residue100,prop6.G2.residue0,prop6.G2.residue25,prop6.G2.residue50,prop6.G2.residue75,prop6.G2.residue100,prop6.G3.residue0,prop6.G3.residue25,prop6.G3.residue50,prop6.G3.residue75,prop6.G3.residue100,prop7.G1.residue0,prop7.G1.residue25,prop7.G1.residue50,prop7.G1.residue75,prop7.G1.residue100,prop7.G2.residue0,prop7.G2.residue25,prop7.G2.residue50,prop7.G2.residue75,prop7.G2.residue100,prop7.G3.residue0,prop7.G3.residue25,prop7.G3.residue50,prop7.G3.residue75,prop7.G3.residue100,Class
0.598802395,15.26946108,36.52694611,66.76646707,100,0.898203593,31.13772455,53.89221557,73.95209581,99.4011976,0.299401198,20.95808383,55.98802395,82.03592814,99.7005988,0.898203593,32.33532934,54.49101796,75.1497006,99.4011976,0.598802395,21.85628743,46.40718563,75.4491018,96.40718563,0.299401198,12.2754491,21.55688623,71.55688623,100,0.299401198,19.16167665,51.79640719,80.23952096,99.7005988,0.898203593,32.03592814,53.29341317,72.45508982,99.4011976,0.598802395,15.26946108,37.1257485,71.85628743,100,2.694610778,32.33532934,54.49101796,74.25149701,99.4011976,0.598802395,22.75449102,47.60479042,77.24550898,97.30538922,0.299401198,12.2754491,21.55688623,71.55688623,100,4.491017964,8.083832335,14.67065868,20.65868263,100,0.299401198,30.23952096,53.59281437,75.4491018,99.7005988,1.497005988,23.05389222,36.52694611,78.14371257,94.31137725,0.299401198,13.77245509,31.13772455,69.76047904,100,1.19760479,30.23952096,54.79041916,76.94610778,99.4011976,0.598802395,36.82634731,55.08982036,77.24550898,99.10179641,2.095808383,24.25149701,50.5988024,76.94610778,99.10179641,0.598802395,15.26946108,36.52694611,66.76646707,100,0.299401198,35.02994012,55.68862275,73.95209581,99.7005988,Negative
0.304414003,23.13546423,46.57534247,72.14611872,100,0.456621005,27.70167428,52.96803653,76.40791476,99.543379,0.152207002,27.24505327,54.94672755,75.34246575,99.847793,0.456621005,21.91780822,42.61796043,74.12480974,99.543379,1.065449011,32.42009132,56.46879756,79.6042618,100,0.152207002,26.78843227,43.98782344,63.16590563,99.695586,0.152207002,26.78843227,54.94672755,70.62404871,99.847793,0.456621005,27.70167428,52.96803653,76.86453577,99.543379,0.304414003,23.43987823,46.87975647,72.45053272,100,0.456621005,22.07001522,43.07458143,74.88584475,99.543379,1.065449011,29.07153729,55.25114155,78.99543379,100,0.152207002,26.78843227,43.98782344,63.16590563,99.695586,0.304414003,26.02739726,42.00913242,58.75190259,99.695586,0.152207002,29.22374429,56.16438356,78.23439878,100,0.761035008,17.04718417,23.43987823,42.16133942,97.71689498,0.152207002,32.11567732,48.85844749,72.60273973,99.695586,1.217656012,28.91933029,53.72907154,74.27701674,99.847793,0.456621005,21.61339422,48.09741248,77.32115677,100,0.608828006,27.24505327,52.81582953,76.40791476,99.847793,0.304414003,23.13546423,46.57534247,72.14611872,100,0.152207002,27.70167428,54.49010654,75.95129376,99.23896499,Negative
2.5,17.5,51.25,71.875,98.125,1.25,26.25,41.875,76.875,98.75,0.625,31.25,58.125,80,100,1.25,26.25,43.125,76.875,97.5,3.125,31.25,58.75,78.125,100,0.625,16.25,44.375,57.5,99.375,0.625,31.25,55,80,100,1.25,26.25,41.875,76.875,97.5,2.5,17.5,50,71.875,98.125,1.875,27.5,43.75,81.875,97.5,1.25,23.75,56.25,74.375,100,0.625,16.25,44.375,57.5,99.375,2.5,16.25,44.375,56.875,80.625,0.625,26.25,50.625,80,100,17.5,38.125,63.75,74.375,86.25,0.625,21.875,49.375,73.125,100,4.375,36.25,55,83.75,99.375,1.25,23.75,39.375,68.75,97.5,4.375,26.875,55,81.875,100,2.5,17.5,51.25,71.875,98.125,0.625,26.25,40.625,75,98.75,Negative
1.086956522,24.45652174,52.17391304,75.54347826,98.36956522,3.260869565,20.65217391,51.08695652,75,100,0.543478261,23.36956522,45.10869565,72.2826087,96.19565217,3.260869565,27.7173913,51.63043478,78.80434783,100,1.630434783,25,48.91304348,70.10869565,98.36956522,0.543478261,15.76086957,44.56521739,73.91304348,96.19565217,0.543478261,23.36956522,41.84782609,69.56521739,96.19565217,3.260869565,30.43478261,58.69565217,81.52173913,100,1.086956522,22.2826087,46.73913043,73.36956522,98.36956522,3.260869565,30.43478261,53.26086957,79.89130435,100,1.630434783,23.91304348,46.19565217,70.10869565,98.36956522,0.543478261,15.76086957,44.56521739,73.91304348,96.19565217,1.086956522,28.80434783,47.82608696,73.91304348,95.10869565,0.543478261,23.36956522,48.91304348,74.45652174,100,2.717391304,24.45652174,54.89130435,70.10869565,98.36956522,0.543478261,22.82608696,48.91304348,72.82608696,100,1.630434783,20.65217391,43.47826087,65.76086957,99.45652174,3.260869565,25.54347826,54.89130435,81.52173913,97.82608696,1.630434783,25.54347826,47.2826087,74.45652174,100,1.086956522,24.45652174,52.17391304,75.54347826,98.36956522,0.543478261,17.39130435,49.45652174,65.2173913,99.45652174,Negative
1.01010101,28.45117845,55.38720539,79.12457912,100,0.336700337,20.2020202,39.22558923,69.02356902,99.32659933,0.168350168,28.61952862,52.18855219,76.43097643,99.66329966,0.336700337,18.85521886,38.21548822,69.02356902,99.83164983,0.673400673,27.94612795,55.89225589,79.29292929,100,0.168350168,31.98653199,53.03030303,75.08417508,96.8013468,0.168350168,30.13468013,54.54545455,75.42087542,99.66329966,0.336700337,17.50841751,36.53198653,65.15151515,99.32659933,1.01010101,28.95622896,54.71380471,79.12457912,100,0.336700337,19.52861953,39.22558923,69.36026936,99.83164983,0.673400673,24.74747475,53.87205387,78.78787879,100,0.168350168,31.98653199,53.03030303,75.08417508,96.8013468,1.178451178,28.95622896,51.51515152,76.09427609,96.8013468,0.168350168,22.8956229,46.63299663,73.23232323,100,6.734006734,30.47138047,56.56565657,81.31313131,99.83164983,0.168350168,30.47138047,53.87205387,77.60942761,100,0.673400673,24.41077441,47.13804714,73.56902357,99.66329966,0.336700337,19.6969697,39.22558923,69.86531987,99.83164983,0.673400673,24.41077441,48.65319865,74.91582492,99.66329966,1.01010101,28.45117845,55.38720539,79.12457912,100,0.168350168,21.88552189,39.22558923,68.68686869,99.32659933,Negative
5.405405405,31.89189189,55.67567568,75.13513514,100,1.081081081,17.2972973,45.40540541,70.81081081,96.75675676,0.540540541,22.7027027,56.75675676,78.37837838,98.37837838,1.081081081,16.75675676,43.24324324,71.35135135,96.75675676,4.864864865,30.27027027,48.64864865,77.2972973,100,0.540540541,35.13513514,62.16216216,75.13513514,98.91891892,0.540540541,24.32432432,65.40540541,78.37837838,98.37837838,1.081081081,16.21621622,43.24324324,70.27027027,96.75675676,5.405405405,32.43243243,56.21621622,73.51351351,100,1.081081081,15.13513514,44.32432432,72.97297297,96.75675676,4.864864865,25.40540541,43.78378378,68.64864865,100,0.540540541,35.13513514,62.16216216,75.13513514,98.91891892,6.486486486,34.59459459,57.2972973,75.13513514,98.91891892,0.540540541,21.62162162,46.48648649,73.51351351,100,5.405405405,35.67567568,62.7027027,71.89189189,95.67567568,0.540540541,28.10810811,47.56756757,71.89189189,100,1.081081081,18.91891892,51.35135135,77.83783784,97.83783784,2.702702703,16.75675676,49.72972973,74.05405405,99.45945946,4.864864865,24.32432432,45.94594595,78.37837838,98.37837838,5.405405405,31.89189189,55.67567568,75.13513514,100,0.540540541,14.05405405,47.02702703,72.97297297,95.13513514,Negative
0.461893764,19.86143187,45.4965358,73.90300231,100,0.692840647,24.7113164,48.49884527,74.82678984,99.53810624,0.230946882,30.94688222,56.35103926,76.21247113,99.07621247,0.692840647,29.79214781,53.11778291,74.82678984,99.76905312,0.461893764,20.7852194,42.26327945,72.97921478,100,0.230946882,33.94919169,56.81293303,76.6743649,98.61431871,0.230946882,32.79445727,56.35103926,76.90531178,99.07621247,0.692840647,23.78752887,46.42032333,71.13163972,99.53810624,0.461893764,20.09237875,46.88221709,73.90300231,100,0.692840647,33.02540416,55.42725173,79.2147806,99.76905312,0.461893764,21.01616628,41.10854503,72.7482679,100,0.230946882,33.94919169,56.81293303,76.6743649,98.61431871,2.07852194,17.09006928,46.88221709,61.66281755,97.22863741,0.230946882,23.78752887,47.57505774,74.59584296,100,3.695150115,47.80600462,63.04849885,75.75057737,99.76905312,0.230946882,20.32332564,45.26558891,73.67205543,100,1.385681293,36.25866051,56.12009238,77.13625866,99.07621247,0.692840647,24.48036952,52.19399538,73.90300231,99.76905312,1.385681293,29.79214781,52.42494226,76.6743649,99.53810624,0.461893764,19.86143187,45.4965358,73.90300231,100,0.230946882,24.48036952,48.96073903,74.59584296,98.61431871,Negative
1.365187713,26.96245734,50.85324232,73.03754266,97.95221843,0.682593857,25.93856655,47.78156997,72.69624573,100,0.341296928,21.16040956,51.53583618,75.76791809,99.65870307,0.682593857,24.57337884,46.75767918,74.06143345,99.31740614,1.023890785,19.11262799,46.07508532,69.28327645,96.92832765,0.341296928,31.39931741,53.24232082,78.15699659,100,0.341296928,22.52559727,53.24232082,78.15699659,100,0.682593857,23.54948805,45.39249147,69.96587031,99.31740614,1.365187713,26.96245734,50.85324232,73.03754266,97.95221843,0.682593857,26.27986348,46.75767918,74.7440273,99.31740614,1.023890785,18.77133106,46.07508532,69.62457338,96.92832765,0.341296928,31.39931741,53.24232082,78.15699659,100,1.365187713,35.49488055,52.90102389,71.33105802,90.44368601,0.341296928,23.89078498,48.46416382,75.08532423,100,3.754266212,19.79522184,49.14675768,73.72013652,97.95221843,0.341296928,27.30375427,55.63139932,76.10921502,99.31740614,2.389078498,23.54948805,48.12286689,74.40273038,100,0.682593857,22.8668942,44.36860068,70.30716724,98.29351536,1.023890785,24.91467577,54.94880546,78.15699659,99.65870307,1.365187713,26.96245734,50.85324232,73.03754266,97.95221843,0.341296928,22.8668942,40.27303754,64.84641638,100,Positive
0.867052023,26.87861272,47.97687861,73.41040462,100,0.578034682,18.78612717,47.68786127,75.43352601,99.13294798,0.289017341,26.01156069,52.89017341,75.14450867,99.71098266,0.578034682,20.80924855,46.24277457,73.41040462,99.13294798,0.867052023,25.72254335,47.97687861,75.72254335,98.55491329,0.289017341,26.30057803,56.06936416,73.98843931,100,0.289017341,24.56647399,52.89017341,75.14450867,99.71098266,0.578034682,16.1849711,46.24277457,74.85549133,99.13294798,0.867052023,27.16763006,47.97687861,73.69942197,100,0.578034682,23.41040462,47.68786127,74.56647399,99.13294798,0.867052023,24.56647399,47.39884393,75.14450867,98.55491329,0.289017341,26.30057803,56.06936416,73.98843931,100,3.757225434,24.27745665,55.20231214,73.69942197,100,0.289017341,22.83236994,48.26589595,76.01156069,99.71098266,0.867052023,30.92485549,53.46820809,72.5433526,97.97687861,0.289017341,30.63583815,53.75722543,78.03468208,100,0.578034682,19.94219653,47.10982659,65.02890173,99.71098266,1.156069364,22.5433526,45.37572254,75.72254335,99.13294798,1.734104046,27.4566474,52.02312139,76.30057803,99.71098266,0.867052023,26.87861272,47.97687861,73.41040462,100,0.289017341,18.49710983,45.66473988,74.85549133,99.42196532,Negative
0.154202005,19.35235158,43.87047032,73.4772552,98.30377795,0.462606014,31.30300694,53.73939861,76.7925983,99.76869699,0.077101002,15.26599846,39.16730918,68.46569005,100,0.462606014,31.76561295,53.81649961,76.09868928,99.76869699,0.154202005,19.9691596,45.48959136,79.56823439,100,0.077101002,10.56283732,23.59290671,64.22513493,99.07478797,0.077101002,13.1842714,33.461835,66.46106399,100,0.462606014,33.307633,55.05011565,78.02621434,99.76869699,0.154202005,19.66075559,43.87047032,73.3230532,98.53508096,0.462606014,31.99691596,57.28604472,77.02390131,99.69159599,0.154202005,23.51580571,45.10408635,76.48419429,100,0.077101002,10.56283732,23.59290671,64.22513493,99.07478797,0.308404009,8.558211257,33.84734002,64.30223593,98.30377795,0.077101002,26.7540478,51.04086353,76.86969931,100,2.158828065,19.19814958,39.62991519,64.68774094,98.07247494,0.077101002,10.87124133,23.74710871,59.21356978,99.922899,0.231303007,20.43176561,56.36083269,73.2459522,100,0.154202005,32.07401696,50.50115652,80.64764842,99.76869699,0.231303007,17.34772552,53.97070162,81.41865844,100,0.154202005,19.35235158,43.87047032,73.4772552,98.30377795,0.077101002,30.60909792,50.50115652,71.93523516,99.76869699,Positive
