0,prop1.Tr1331,prop1.Tr2332,prop2.Tr1221,prop2.Tr1331,prop2.Tr2332,prop3.Tr1221,prop3.Tr1331,prop3.Tr2332,prop4.Tr1221,prop4.Tr1331,prop4.Tr2332,prop5.Tr1221,prop5.Tr1331,prop5.Tr2332,prop6.Tr1221,prop6.Tr1331,prop6.Tr2332,prop7.Tr1221,prop7.Tr1331,prop7.Tr2332,Class
0.233463035,0.26459144,0.229571984,0.214007782,0.233463035,0.19844358,0.171206226,0.307392996,0.206225681,0.210116732,0.190661479,0.241245136,0.214007782,0.019455253,0.237354086,0.20233463,0.214007782,0.182879377,0.295719844,0.241245136,0.20233463,Negative
0.225255973,0.180887372,0.271331058,0.281569966,0.204778157,0.16552901,0.254266212,0.225255973,0.201365188,0.266211604,0.184300341,0.186006826,0.16552901,0.0221843,0.179180887,0.237201365,0.232081911,0.172354949,0.257679181,0.230375427,0.148464164,Negative
0.245080501,0.082289803,0.245080501,0.319320215,0.151162791,0.093023256,0.265652952,0.110017889,0.228085868,0.339892665,0.137745975,0.106440072,0.062611807,0.012522361,0.153846154,0.204830054,0.155635063,0.23255814,0.118962433,0.313059034,0.208407871,Positive
0.26946848,0.187886279,0.119901112,0.280593325,0.113720643,0.161928307,0.110012361,0.205191595,0.254635352,0.268232386,0.09394314,0.18170581,0.121137206,0.012360939,0.098887515,0.108776267,0.243510507,0.17552534,0.221260816,0.144622991,0.236093943,Negative
0.203076923,0.141538462,0.267692308,0.329230769,0.107692308,0.126153846,0.243076923,0.175384615,0.187692308,0.363076923,0.098461538,0.135384615,0.076923077,0.009230769,0.163076923,0.181538462,0.172307692,0.264615385,0.203076923,0.283076923,0.141538462,Positive
0.243902439,0.243902439,0.175609756,0.263414634,0.190243902,0.165853659,0.180487805,0.287804878,0.209756098,0.273170732,0.175609756,0.180487805,0.185365854,0.03902439,0.214634146,0.234146341,0.209756098,0.219512195,0.317073171,0.136585366,0.170731707,Negative
0.261306533,0.16080402,0.216080402,0.286432161,0.140703518,0.226130653,0.165829146,0.211055276,0.231155779,0.296482412,0.130653266,0.236180905,0.180904523,0.030150754,0.180904523,0.201005025,0.27638191,0.170854271,0.231155779,0.201005025,0.190954774,Negative
0.270611702,0.129654255,0.174867021,0.29587766,0.160239362,0.128989362,0.179521277,0.14893617,0.253989362,0.300531915,0.147606383,0.14162234,0.140957447,0.02393617,0.140957447,0.142952128,0.315824468,0.173537234,0.207446809,0.240026596,0.192819149,Negative
0.06122449,0.306122449,0.285714286,0.255102041,0.173469388,0.306122449,0.224489796,0.326530612,0.081632653,0.244897959,0.12244898,0.357142857,0.224489796,0,0.102040816,0.285714286,0.214285714,0.153061224,0.316326531,0.244897959,0.051020408,Negative
0.19047619,0.112044818,0.271708683,0.344537815,0.109243697,0.092436975,0.274509804,0.145658263,0.168067227,0.361344538,0.092436975,0.109243697,0.047619048,0.00280112,0.148459384,0.165266106,0.134453782,0.291316527,0.142857143,0.299719888,0.159663866,Positive
0.160377358,0.075471698,0.349056604,0.160377358,0.235849057,0.226415094,0.245283019,0.141509434,0.132075472,0.150943396,0.20754717,0.254716981,0.103773585,0.028301887,0.103773585,0.301886792,0.169811321,0.150943396,0.160377358,0.367924528,0.075471698,Negative
0.248407643,0.184713376,0.25477707,0.280254777,0.23566879,0.178343949,0.242038217,0.210191083,0.23566879,0.305732484,0.21656051,0.197452229,0.242038217,0.025477707,0.101910828,0.159235669,0.280254777,0.171974522,0.267515924,0.229299363,0.165605096,Negative
0.201077199,0.177737882,0.26929982,0.314183124,0.152603232,0.170556553,0.26032316,0.215439856,0.170556553,0.287253142,0.132854578,0.190305206,0.138240575,0.010771993,0.157989228,0.23518851,0.242369838,0.163375224,0.206463196,0.263913824,0.172351885,Negative
0.240063593,0.217806041,0.163751987,0.287758347,0.128775835,0.20190779,0.151033386,0.252782194,0.20190779,0.271860095,0.112877583,0.217806041,0.168521463,0.038155803,0.193958665,0.200317965,0.241653418,0.174880763,0.248012719,0.171701113,0.209856916,Negative
0.205940594,0.207920792,0.257425743,0.306930693,0.207920792,0.156435644,0.243564356,0.233663366,0.196039604,0.293069307,0.178217822,0.186138614,0.158415842,0.041584158,0.172277228,0.201980198,0.217821782,0.217821782,0.291089109,0.231683168,0.122772277,Negative
0.256849315,0.160958904,0.260273973,0.256849315,0.22260274,0.147260274,0.239726027,0.205479452,0.239726027,0.229452055,0.20890411,0.160958904,0.109589041,0.01369863,0.178082192,0.219178082,0.195205479,0.215753425,0.27739726,0.25,0.140410959,Positive
0.260869565,0.210144928,0.207729469,0.268115942,0.195652174,0.18115942,0.188405797,0.239130435,0.241545894,0.265700483,0.164251208,0.212560386,0.222222222,0.041062802,0.190821256,0.231884058,0.275362319,0.144927536,0.280193237,0.173913043,0.190821256,Negative
0.269230769,0.134615385,0.259615385,0.259615385,0.298076923,0.144230769,0.269230769,0.144230769,0.269230769,0.221153846,0.278846154,0.163461538,0.288461538,0,0,0.182692308,0.278846154,0.163461538,0.221153846,0.201923077,0.182692308,Negative
0.198373984,0.130081301,0.299186992,0.269918699,0.195121951,0.18699187,0.286178862,0.175609756,0.159349593,0.25203252,0.17398374,0.208130081,0.126829268,0.029268293,0.136585366,0.260162602,0.22601626,0.157723577,0.190243902,0.260162602,0.138211382,Negative
0.185527329,0.060816012,0.280985373,0.357197844,0.112394149,0.044649731,0.287143957,0.068514242,0.183987683,0.3456505,0.096227868,0.060816012,0.060046189,0,0.129330254,0.177059276,0.156274057,0.287143957,0.083140878,0.339491917,0.163202463,Positive
0.281124498,0.18875502,0.136546185,0.208835341,0.208835341,0.21686747,0.168674699,0.236947791,0.232931727,0.228915663,0.164658635,0.261044177,0.208835341,0.044176707,0.156626506,0.172690763,0.236947791,0.220883534,0.253012048,0.164658635,0.21686747,Negative
0.210682493,0.201780415,0.222551929,0.284866469,0.172106825,0.139465875,0.225519288,0.228486647,0.201780415,0.293768546,0.163204748,0.148367953,0.154302671,0.023738872,0.183976261,0.201780415,0.207715134,0.21958457,0.329376855,0.228486647,0.083086053,Negative
0.239057239,0.178451178,0.185185185,0.188552189,0.208754209,0.208754209,0.151515152,0.232323232,0.185185185,0.195286195,0.168350168,0.249158249,0.195286195,0.04040404,0.168350168,0.296296296,0.205387205,0.144781145,0.212121212,0.195286195,0.205387205,Negative
